%Time,Heat_cons,ElecHigh,ElecLow,CO2_cons,Irr,Drain
43815.00,2.19,0.7,0,0.009824111,0.2,0
43816.00,0.92,0.8,0.6,0.0159075,0,0
43817.00,1.26,0.9,0.6,0.0146975,0,0
43818.00,0.75,0.8,0.6,0.02363,0.1,0
43819.00,0.84,1.4,0.6,0.0216225,0.1,0
43820.00,0.92,1.5,0.9,0.026619167,0.3,0
43821.00,1,1.5,0.9,0.028085833,0.3,0
43822.00,1.34,1.5,0.9,0.038608333,0.2,0
43823.00,2.02,1.5,0.9,0.031675833,0.8,0
43824.00,2.23,1.5,0.9,0.028251667,1.4,0
43825.00,3.1,1.5,0.9,0.022516667,1.4,0
43826.00,2.22,1.5,0.9,0.031784167,1.1,0.2
43827.00,3.34,1.5,0.9,0.026928333,0.4,0
43828.00,3.86,1.5,0.9,0.0283125,0.4,0
43829.00,2.67,1.1,0.9,0.032578333,0.4,0.9
43830.00,3.44,1.4,0.6,0.026185,1.4,0.1
43831.00,3.69,1.5,0.9,0.03014,1.5,0.3
43832.00,3.55,1.5,0.9,0.031726667,1.5,0.3
43833.00,3.4,1.5,0.9,0.039634167,1.2,0.1
43834.00,3.24,1.5,0.9,0.040623333,1.2,0
43835.00,3.18,1.5,0.9,0.034519167,1.2,0
43836.00,3.63,1.5,0.9,0.040339167,1.2,0
43837.00,3.3,1.4,0.9,0.033265,1.4,0
43838.00,3.16,1.5,0.9,0.040585833,1.8,0.1
43839.00,2.82,1.5,0.9,0.03861,1.5,0.4
43840.00,2.98,1.5,0.9,0.038435,1.9,0.3
43841.00,4.19,1.5,0.9,0.035618333,1.9,0
43842.00,3.7,1.5,0.9,0.033819167,1.9,0.1
43843.00,3.39,1.4,0.9,0.029520833,2.1,0.2
43844.00,2.94,1.5,0.9,0.032776667,2.4,0.7
43845.00,3.51,1.5,0.9,0.033255833,2.4,0.8
43846.00,3.23,1.5,0.9,0.030149167,2.8,0.8
43847.00,3.52,1.4,0.9,0.026366667,2.8,1
43848.00,4.57,1.5,0.9,0.0317025,2.8,0.9
43849.00,4.1,1.5,0.9,0.028379167,3.4,1.2
43850.00,3.66,1.5,0.9,0.02353,3.1,1.3
43851.00,4.76,1.5,0.9,0.024471667,4.1,2
43852.00,4,1.5,0.9,0.022375833,4.1,2.1
43853.00,3.17,1.5,0.9,0.023505,4.1,2.2
43854.00,4.77,1.5,0.9,0.022975,4.1,2
43855.00,5.19,1.5,0.9,0.0242975,4.1,2
43856.00,4.35,1.5,0.9,0.0352275,4.1,1.9
43857.00,4.83,1.3,0.9,0.0344825,4.1,0.6
43858.00,5.96,1.5,0.9,0.044040833,4.1,1.7
43859.00,5.29,1.5,0.9,0.04579,4.1,1.4
43860.00,4.19,1.5,0.9,0.041171667,4.1,1.7
43861.00,3.61,1.5,0.9,0.0384975,4.1,1.8
43862.00,3.57,1.5,0.9,0.034874167,4.5,2.3
43863.00,4.18,1.5,0.9,0.0399625,4.5,2.3
43864.00,3.37,1.5,0.9,0.0473725,4.5,2.3
43865.00,5.57,1.5,0.9,0.043246667,4.5,0.8
43866.00,3.12,1.5,0.9,0.037679167,4.5,0.8
43867.00,3.29,1.5,0.9,0.0399725,4.5,2.1
43868.00,4.15,1.5,0.9,0.042879167,4.5,2.1
43869.00,4.65,1.5,0.9,0.030740833,4.5,1.6
43870.00,4.83,1.5,0.9,0.041124167,4.5,0
43871.00,4.76,1.5,0.9,0.055046667,4.5,1.6
