"CPC21 code","CPC21 label","ICC10 code","If partial"
"01111","Wheat, seed","11","*"
"01111","Wheat, seed","192","*"
"01112","Wheat, other","11","*"
"01112","Wheat, other","192","*"
"01121","Maize (corn), seed","12","*"
"01122","Maize (corn), other","12","*"
"01131","Rice, seed","13","*"
"01132","Rice paddy, other (not husked)","13","*"
"01141","Sorghum, seed","14","*"
"01141","Sorghum, seed","18","*"
"01142","Sorghum, other","14","*"
"01142","Sorghum, other","18","*"
"01151","Barley, seed","15","*"
"01152","Barley, other","15","*"
"01161","Rye, seed","16","*"
"01162","Rye, other","16","*"
"01171","Oats, seed","17","*"
"01172","Oats, other","17","*"
"01181","Millet, seed","18","*"
"01182","Millet, other","18","*"
"01191","Triticale","17","*"
"01192","Buckwheat","192","*"
"01193","Fonio","192","*"
"01194","Quinoa","192","*"
"01211","Asparagus","212","*"
"01212","Cabbages","219","*"
"01212","Cabbages","213","*"
"01213","Cauliflowers and broccoli","214","*"
"01214","Lettuce and chicory","215","*"
"01214","Lettuce and chicory","217","*"
"01214","Lettuce and chicory","219","*"
"01215","Spinach","216","*"
"01216","Artichokes","211","*"
"01221","Watermelons","224","*"
"01229","Cantaloupes and other melons","225","*"
"01231","Chillies and peppers, green (<i>Capsicum</i> spp. and <i>Pimenta</i> spp.)","6211","*"
"01232","Cucumbers and gherkins","221","*"
"01233","Eggplants (aubergines)","222","*"
"01234","Tomatoes","223","*"
"01235","Pumpkins, squash and gourds","226","*"
"01242","Peas, green","77","*"
"01243","Broad beans and horse beans, green","72","*"
"01249","Other green leguminous vegetables","79","*"
"01251","Carrots and turnips","232","*"
"01251","Carrots and turnips","231","*"
"01252","Green garlic","233","*"
"01254","Leeks and other alliaceous vegetables","235","*"
"01259","Other root, bulb and tuberous vegetables, n.e.c.","239","*"
"01259","Other root, bulb and tuberous vegetables, n.e.c.","81","*"
"01270","Mushrooms and truffles","24","*"
"01311","Avocados","311","*"
"01314","Dates","313","*"
"01315","Figs","314","*"
"01317","Papayas","316","*"
"01318","Pineapples","317","*"
"01319","Other tropical and subtropical fruits, n.e.c.","319","*"
"01319","Other tropical and subtropical fruits, n.e.c.","39","*"
"01321","Pomelos and grapefruits","321","*"
"01322","Lemons and limes","322","*"
"01323","Oranges","323","*"
"01329","Other citrus fruit, n.e.c.","329","*"
"01330","Grapes","33","*"
"01341","Apples","351","*"
"01343","Apricots","352","*"
"01345","Peaches and nectarines","354","*"
"01346","Plums and sloes","356","*"
"01352","Kiwi fruit","343","*"
"01354","Strawberries","345","*"
"01356","Locust beans (carobs)","39","*"
"01371","Almonds, in shell","361","*"
"01372","Cashew nuts, in shell","362","*"
"01373","Chestnuts, in shell","363","*"
"01374","Hazelnuts, in shell","364","*"
"01375","Pistachios, in shell","365","*"
"01376","Walnuts, in shell","366","*"
"01377","Brazil nuts, in shell","369","*"
"01411","Soya beans, seed for planting","41","*"
"01412","Soya beans, other","41","*"
"01421","Groundnuts, seed for planting","42","*"
"01422","Groundnuts, in shell","42","*"
"01431","Cottonseed, seed for planting","9211","*"
"01432","Cottonseed, other","9211","*"
"01441","Linseed","432","*"
"01442","Mustard seed","433","*"
"01443","Rape or colza seed","435","*"
