"FCL code","FCL label","CPC21AG code","If partial"
"0020","Bread","23490.90","*"
"0038","Flour of Rice","23120.01","*"
"0048","Barley Flour and Grits","23120.02","*"
"0051","Beer of Barley","24310.01","*"
"0058","Flour of Maize","23120.03","*"
"0066","Beer of Maize","24310.02","*"
"0072","Flour of Rye","23120.04","*"
"0080","Flour of Millet","23120.05","*"
"0082","Beer of Millet","24310.03","*"
"0084","Flour of Sorghum","23120.06","*"
"0086","Beer of Sorghum","24310.04","*"
"0090","Flour of Buckwheat","23120.07","*"
"0095","Flour of Fonio","23120.08","*"
"0098","Flour of Triticale","23120.09","*"
"0104","Flour of Mixed Grain","23120.10","*"
"0108","Cereals, nes","01199.01","*"
"0108","Cereals, nes","01199.90","*"
"0111","Flour of Cereals nes","23120.90","*"
"0220","Chestnuts","21429.03","*"
"0223","Pistachios","21429.04","*"
"0226","Areca nuts","21429.05","*"
"0226","Areca nuts","01379.01","*"
"0234","Nuts nes","01379.90","*"
"0234","Nuts nes","21429.90","*"
"0235","Prepared Nuts","21495.90","*"
"0235","Prepared Nuts","21499.90","*"
"0262","Olives, Preserved","21330.01","*"
"0262","Olives, Preserved","21340.01","*"
"0262","Olives, Preserved","21399.91","*"
"0268","Oil of Sunflower Seed","21631.01","*"
"0271","Oil of Rapeseed or Canola oil","21641.01","*"
"0281","Oil of Safflower Seed","21631.02","*"
"0293","Oil of Mustard Seed","21641.02","*"
"0310","Kapok fruit","01499.05",""
"0311","Kapokseed in shell","01499.06",""
"0312","Kapokseed, shelled","01499.07",""
"0313","Oil of Kapok","21691.11",""
"0314","Cake of Kapok","21910.14",""
"0328","[Seed Cotton]","01921.01",""
"0332","Cake of Cottonseed","21910.15",""
"0334","Oil of Linseed","21691.12",""
"0335","Cake of Linseed","21910.16",""
"0336","Hempseed","01449.02",""
"0337","Oil of Hempseed","21691.13",""
"0338","Cake of Hempseed","21910.17",""
"0339","Oilseeds nes","01449.90","*"
"0339","Oilseeds nes","01499.90","*"
"0340","Oil of Vegetable Origin nes","21691.90",""
"0341","Cake of Oilseeds nes","21910.90",""
"0378","Cassava leaves","01219.01",""
"0391","Paste of Tomatoes","21399.01",""
"0392","Tomatoes, Peeled (O/T vinegar)","21399.02",""
"0402","Onions, shallots (green)","01253.01",""
"0403","Onions, dry","01253.02",""
"0414","Beans, green","01241.90",""
"0423","String Beans","01241.01",""
"0430","Okra","01239.01",""
"0446","Green Corn (Maize)","01290.01",""
"0447","Sweet Corn, Frozen","21319.01",""
"0448","Sweet Corn, Prepared or Preserved","21399.03",""
"0450","Dried Mushrooms","21393.01",""
"0451","Canned Mushrooms","21397.01",""
"0460","Vegetable products, fresh or dry nes","01990.01",""
"0463","Vegetables, Fresh n.e.s.","01290.90","*"
"0463","Vegetables, Fresh n.e.s.","01239.90","*"
"0463","Vegetables, Fresh n.e.s.","01219.90","*"
"0469","Vegetables, Dehydrated","21393.90",""
"0472","Vegetables, Preserved nes (O/T vinegar)","21399.92","*"
"0473","Vegetables, Frozen","21319.90","*"
"0474","Vegetables, Temporarily Preserved","21330.90",""
"0475","Vegetables, Preserved (Frozen)","21399.93","*"
"0476","Homogenized Vegetable Preparations","23991.02",""
"0486","Bananas","01312.02","*"
"0486","Bananas","01312.01","*"
"0489","Plantains","01313.01","*"
"0489","Plantains","01313.02","*"
"0491","Juice of Orange","21431.01",""
"0492","Orange Juice, Concentrated","21431.02",""
