"FCL code","FCL label","CPC21 code","If partial"
"0015","Wheat","0111","*"
"0015","Wheat","01111","*"
"0015","Wheat","01112","*"
"0016","Flour of Wheat","23110","*"
"0016","Flour of Wheat","23130","*"
"0020","Bread","23410","*"
"0022","Pastry","23420","*"
"0022","Pastry","23430","*"
"0027","Rice, paddy","0113","*"
"0027","Rice, paddy","01131","*"
"0027","Rice, paddy","01132","*"
"0038","Flour of Rice","23130","*"
"0044","Barley","01152","*"
"0044","Barley","01151","*"
"0044","Barley","0115","*"
"0048","Barley Flour and Grits","23130","*"
"0051","Beer of Barley","24490","*"
"0056","Maize","0112","*"
"0056","Maize","01121","*"
"0056","Maize","01122","*"
"0058","Flour of Maize","23130","*"
"0066","Beer of Maize","24490","*"
"0071","Rye","0116","*"
"0071","Rye","01161","*"
"0071","Rye","01162","*"
"0072","Flour of Rye","23130","*"
"0075","Oats","01172","*"
"0075","Oats","0117","*"
"0075","Oats","01171","*"
"0079","Millet","0118","*"
"0079","Millet","01181","*"
"0079","Millet","01182","*"
"0080","Flour of Millet","23130","*"
"0082","Beer of Millet","24490","*"
"0083","Sorghum","0114","*"
"0083","Sorghum","01141","*"
"0083","Sorghum","01142","*"
"0084","Flour of Sorghum","23130","*"
"0086","Beer of Sorghum","24490","*"
"0090","Flour of Buckwheat","23130","*"
"0095","Flour of Fonio","23130","*"
"0098","Flour of Triticale","23130","*"
"0104","Flour of Mixed Grain","23130","*"
"0111","Flour of Cereals nes","23130","*"
"0220","Chestnuts","01373","*"
"0223","Pistachios","01375","*"
"0235","Prepared Nuts","21493","*"
"0235","Prepared Nuts","21494","*"
"0235","Prepared Nuts","21496","*"
"0236","Soybeans","01411","*"
"0236","Soybeans","01412","*"
"0236","Soybeans","0141","*"
"0237","Oil of Soybeans","21612","*"
"0237","Oil of Soybeans","2161","*"
"0237","Oil of Soybeans","21611","*"
"0242","Groundnuts, in shell","0142","*"
"0242","Groundnuts, in shell","01421","*"
"0242","Groundnuts, in shell","01422","*"
"0244","Oil of Groundnuts","2162","*"
"0244","Oil of Groundnuts","21621","*"
"0244","Oil of Groundnuts","21622","*"
"0252","Oil of Coconuts","2166","*"
"0252","Oil of Coconuts","21661","*"
"0252","Oil of Coconuts","21662","*"
"0257","Oil of palm","21651","*"
"0257","Oil of palm","21652","*"
"0257","Oil of palm","2165","*"
"0261","Oil of Olives, Virgin","2167","*"
"0261","Oil of Olives, Virgin","21671","*"
"0261","Oil of Olives, Virgin","21672","*"
"0268","Oil of Sunflower Seed","21632","*"
"0271","Oil of Rapeseed or Canola oil","21642","*"
"0274","Oil of Olive Residues","21673","*"
"0281","Oil of Safflower Seed","21632","*"
"0293","Oil of Mustard Seed","21642","*"
"0329","Cottonseed","0143","*"
"0329","Cottonseed","01431","*"
"0329","Cottonseed","01432","*"
"0331","Oil of Cottonseed","21682","*"
"0331","Oil of Cottonseed","21681","*"
"0331","Oil of Cottonseed","2168","*"
"0463","Vegetables, Fresh n.e.s.","01249","*"
"0463","Vegetables, Fresh n.e.s.","01259","*"
"0472","Vegetables, Preserved nes (O/T vinegar)","21394","*"
"0472","Vegetables, Preserved nes (O/T vinegar)","21395","*"
"0472","Vegetables, Preserved nes (O/T vinegar)","21396","*"
"0473","Vegetables, Frozen","21311","*"
"0473","Vegetables, Frozen","21312","*"
"0475","Vegetables, Preserved (Frozen)","21394","*"
"0486","Bananas","01312","*"
"0489","Plantains","01313","*"
"0495","Tangerines, mandarins, clementines, satsumas","01324","*"
"0564","Wine","24211","*"
"0571","Mangoes","01316","*"
"0577","Dates","01314","*"
"0619","Fruit, fresh nes","01319","*"
"0623","Fruit, prepared nes","21492","*"
"0623","Fruit, prepared nes","21493","*"
"0623","Fruit, prepared nes","21494","*"
"0623","Fruit, prepared nes","21496","*"
"0631","Waters, Ice and Snow","17400","*"
"0631","Waters, Ice and Snow","18000","*"
"0631","Waters, Ice and Snow","24410","*"
"0634","Beverages, Distilled Alcoholic","24131","*"
"0634","Beverages, Distilled Alcoholic","2413","*"
"0634","Beverages, Distilled Alcoholic","24139","*"
"0665","Cocoa Powder and Cake","23630","*"
"0666","Chocolate Products nes","23640","*"
"0666","Chocolate Products nes","23650","*"
