m49_code,country,cpc_code,commodity,commodity_basket,year,decades,loss_percentage,food_supply_stage,method_data_collection
104,Myanmar,0142,"Groundnuts, excluding shelled","Roots, Tubers & Oil-Bearing Crops",2009,2000,5.22,Whole supply chain,FAO's annual Agriculture Production Questionnaires
104,Myanmar,0142,"Groundnuts, excluding shelled","Roots, Tubers & Oil-Bearing Crops",2008,2000,5.43,Whole supply chain,FAO's annual Agriculture Production Questionnaires
104,Myanmar,0142,"Groundnuts, excluding shelled","Roots, Tubers & Oil-Bearing Crops",2007,2000,5.61,Whole supply chain,FAO's annual Agriculture Production Questionnaires
104,Myanmar,0142,"Groundnuts, excluding shelled","Roots, Tubers & Oil-Bearing Crops",2006,2000,5.4,Whole supply chain,FAO's annual Agriculture Production Questionnaires
104,Myanmar,0142,"Groundnuts, excluding shelled","Roots, Tubers & Oil-Bearing Crops",2005,2000,5.0,Whole supply chain,FAO's annual Agriculture Production Questionnaires
104,Myanmar,0142,"Groundnuts, excluding shelled","Roots, Tubers & Oil-Bearing Crops",2004,2000,5.0,Whole supply chain,FAO's annual Agriculture Production Questionnaires
104,Myanmar,0142,"Groundnuts, excluding shelled","Roots, Tubers & Oil-Bearing Crops",2003,2000,5.0,Whole supply chain,FAO's annual Agriculture Production Questionnaires
104,Myanmar,0113,Rice,Cereals & Pulses,1994,1990,2.1,Harvest,Unknown
104,Myanmar,0113,Rice,Cereals & Pulses,1994,1990,0.5,Farm,Unknown
104,Myanmar,0113,Rice,Cereals & Pulses,1994,1990,5.2,Farm,Unknown
104,Myanmar,0113,Rice,Cereals & Pulses,1994,1990,1.9,Harvest,Unknown
104,Myanmar,0113,Rice,Cereals & Pulses,1994,1990,2.1,Harvest,Unknown
104,Myanmar,0113,Rice,Cereals & Pulses,1994,1990,5.4,Harvest,Unknown
108,Burundi,0111,Wheat,Cereals & Pulses,2020,2020,3.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2020,2020,4.87,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2020,2020,2.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2020,2020,4.43,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2020,2020,4.0,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2020,2020,1.32,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2020,2020,6.42,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2020,2020,5.26,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2020,2020,2.36,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2020,2020,3.14,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2020,2020,4.4,Harvest,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2020,2020,2.5,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2020,2020,1.2,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2020,2020,1.25,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2020,2020,3.6,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2020,2020,4.55,Harvest,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2020,2020,2.69,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2020,2020,2.17,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2020,2020,2.0,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2020,2020,1.18,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2020,2020,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2020,2020,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2020,2020,3.5,Harvest,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2019,2010,4.43,Harvest,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2019,2010,2.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2019,2010,3.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2019,2010,4.87,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2019,2010,2.36,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2019,2010,6.42,Harvest,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2019,2010,5.26,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2019,2010,1.32,Farm,Modelled Estimates
108,Burundi,0112,Maize (corn),Cereals & Pulses,2019,2010,4.0,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2019,2010,3.14,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2019,2010,1.2,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2019,2010,4.4,Harvest,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2019,2010,2.5,Farm,Modelled Estimates
108,Burundi,0113,Rice,Cereals & Pulses,2019,2010,1.25,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2019,2010,4.55,Harvest,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2019,2010,2.17,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2019,2010,3.6,Farm,Modelled Estimates
108,Burundi,0114,Sorghum,Cereals & Pulses,2019,2010,2.69,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2019,2010,3.5,Harvest,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2019,2010,1.18,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2019,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2019,2010,2.5,Farm,Modelled Estimates
108,Burundi,0118,Millet,Cereals & Pulses,2019,2010,2.0,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2018,2010,3.5,Farm,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2018,2010,4.43,Harvest,Modelled Estimates
108,Burundi,0111,Wheat,Cereals & Pulses,2018,2010,2.5,Farm,Modelled Estimates
